,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
child_age_months,-0.001037036199917094,8.988038013717658e-05,-11.537959656316053,8.491553069100021e-31,-0.0012131985079027294,-0.0008608738919314587
is_female,0.002456112966490511,0.0018571788461241058,1.3224967383277968,0.18600279476146842,-0.0011838906847623913,0.006096116617743414
is_urban,0.03654824270597619,0.0025533104014889463,14.314061731258104,1.7876045146500645e-46,0.03154384627770635,0.041552639134246026
wealth_index,0.0786465405180098,0.0008991993628998212,87.4628516910679,0.0,0.0768841421518048,0.08040893888421481
mother_edu,0.06679238558247315,0.000703306145914809,94.9691481731537,0.0,0.06541393086637445,0.06817084029857184
mother_age,0.0051086698263844805,0.00020368895500901606,25.080740515156315,8.069410987500389e-139,0.00470944681051821,0.005507892842250751
